scene,own_sift_mean_err_f,own_sift_std_err_f,own_sift_mean_err_q,own_sift_std_err_q,own_sift_mean_err_t,own_sift_std_err_t,opencv_sift_mean_err_f,opencv_sift_std_err_f,opencv_sift_mean_err_q,opencv_sift_std_err_q,opencv_sift_mean_err_t,opencv_sift_std_err_t,superglue_mean_err_f,superglue_std_err_f,superglue_mean_err_q,superglue_std_err_q,superglue_mean_err_t,superglue_std_err_t,loftr_mean_err_f,loftr_std_err_f,loftr_mean_err_q,loftr_std_err_q,loftr_mean_err_t,loftr_std_err_t,
sacre_coeur,159485.3859,2.7383,113.0062,35.0509,18.7779,0.3344,159494.6782,4.3795,117.7458,66.5360,19.2153,0.1277,159493.9199,0.0000,13.4935,0.0000,16.5067,0.0000,159494.1468,0.0000,14.9538,0.0000,18.2441,0.0000,
st_peters_square,522155.9932,362670.6073,125.2694,35.6252,56.6220,37.8452,522164.5022,362669.8240,117.5084,59.4770,58.9992,44.9861,522163.5603,362669.6404,13.2729,0.2206,52.3145,35.8078,522164.6562,362670.5093,14.0657,0.8882,52.9651,34.7210,
taj_mahal,348332.9597,384857.8182,103.0719,47.0510,38.4891,40.1552,348338.1510,384860.3230,83.4922,68.4082,40.1074,45.4200,348337.4320,384860.0064,9.6194,5.1699,35.5368,37.6534,348338.2656,384860.7891,11.1926,4.1273,35.6321,37.4775,
lincoln_memorial_statue,575749.1075,515985.4338,91.8628,48.7239,31.9540,36.5712,575751.4027,515983.0058,99.3685,70.1553,33.2720,41.0779,575752.4407,515985.1519,12.7162,6.9869,28.9389,34.5533,575753.0408,515985.2809,10.1794,3.9820,27.7071,35.2397,
trevi_fountain,716669.1462,540764.8321,107.6426,53.8073,28.9627,33.2529,716670.8625,540762.3753,108.2143,67.1067,30.0982,37.2884,716671.8339,540763.9440,18.5593,13.2521,28.2218,30.9387,716672.0102,540763.6008,11.4806,4.4111,26.5905,31.5984,
piazza_san_marco,641375.7866,521569.0619,98.2110,55.0613,27.8617,30.4560,641377.3125,521567.0767,104.3433,61.8711,27.1379,34.6775,641378.1209,521568.5497,28.0990,24.5231,24.9186,29.1929,641378.2634,521568.2775,23.4221,27.0039,24.1106,29.3734,
grand_place_brussels,557160.6770,525095.5661,108.6898,57.0840,24.6861,29.2501,557162.2570,525093.8239,108.1236,61.3215,24.0729,32.9712,557162.8337,525095.3009,30.5783,23.5022,21.9535,27.9862,557162.9837,525095.0620,21.7628,25.3290,21.3110,28.0458,
buckingham_palace,491482.8386,521013.1798,107.6584,56.0855,24.9413,27.4000,491484.9739,521011.1535,103.4840,61.1582,24.1867,30.8713,491485.5266,521012.4771,28.9738,22.3904,20.8040,26.3548,573741.6890,493136.0820,22.9828,23.9119,22.1270,26.3231,
temple_nara_japan,441645.0084,511041.6529,114.3832,56.1948,22.8478,26.5029,441647.3120,511039.6853,93.1956,64.6821,22.2002,29.6480,441647.8404,511040.9038,30.3529,21.4672,18.9242,25.4100,514764.2838,493952.9481,21.5063,22.9279,20.5062,25.2375,
sagrada_familia,397675.7281,502440.9343,103.3029,62.8256,20.6063,26.0266,397677.8147,502439.3040,84.1900,67.0482,20.0157,28.8800,397678.3945,502440.3789,27.5301,22.0561,17.0826,24.7311,463483.0994,493212.3299,19.5628,22.5192,18.5055,24.6833,
brandenburg_gate,367923.5444,488210.0975,108.9284,62.5109,19.1840,25.2198,367925.5684,488208.6103,77.5499,67.3164,18.9265,27.7524,368065.8263,488124.6865,25.3223,22.1583,15.9883,23.8327,427748.5685,483646.1197,18.0989,21.9646,17.3696,23.8071,
notre_dame_front_facade,338482.7805,477515.4644,107.6509,62.2075,17.6231,24.6948,338484.5973,477514.2111,73.0973,66.1669,17.4045,27.0462,338613.1461,477443.5023,23.9024,21.7314,14.6876,23.2223,393322.2931,476925.1771,17.4217,21.1491,15.9405,23.2812,
colosseum_exterior,1453021.4210,3888037.7461,107.7506,60.4790,54.2334,129.2921,1453023.2564,3888037.6678,77.5015,66.1333,55.0864,133.0954,1453142.0000,3887995.9234,26.9641,23.4183,74.1720,207.2645,1503642.6083,3873460.3797,18.7805,20.8575,51.3793,124.7850,
pantheon_exterior,1355913.8818,3762931.2738,110.7544,59.7298,50.6975,125.2397,1355915.5576,3762931.2522,74.8716,64.5590,51.5913,128.8717,1356025.8669,3762894.0305,25.9565,22.8571,69.2270,200.5194,1402919.3062,3750185.3524,19.6104,20.3203,48.2193,120.7844,
british_museum,1302115.3150,3640905.7921,108.6509,58.2411,47.7432,121.4969,1302116.1760,3640905.9399,73.0770,62.8210,48.3270,125.0996,1302219.1573,3640871.5514,27.8325,23.1708,64.8392,194.4145,1345986.3653,3629280.4432,19.0403,19.7468,45.3570,117.1793,
st_pauls_cathedral,1247114.7711,3531721.7753,112.7631,58.5975,46.0881,117.8134,1247116.0290,3531721.8254,71.3201,62.0958,46.7600,121.2866,1247212.5558,3531690.0974,27.2403,22.5520,61.9751,188.5676,1288244.3479,3521144.5384,18.6340,19.1844,43.4830,113.6902,
